"_time","source_ip",duration,eventcount,concurrency,rand
1709391600,"152.89.198.84",30,168,2,0
1709391600,"185.161.248.87",52,39,10,0
1709391600,"45.93.20.229",41,227,21,0
1709391600,"185.94.111.1",7,20,22,0
1709391600,"31.41.244.88",26,59,41,0
1709391600,"152.89.198.85",4,29,45,0
1709391600,"185.198.69.71",46,15,51,0
1709391600,"185.198.69.48",3,3,53,0
1709391601,"152.89.198.93",61,288,53,0
1709391601,"185.198.69.68",8,8,62,0
1709391601,"185.198.69.70",51,14,64,0
1709391601,"88.210.24.122",1,1,69,0
1709391601,"109.167.197.20",1,1,71,0
1709391601,"213.183.113.154",22,4,72,0
1709391601,"185.198.69.79",52,7,76,0
1709391602,"176.192.174.126",21,2,73,0
1709391602,"185.198.69.43",26,9,76,0
1709391602,"176.99.158.223",42,2,77,0
1709391602,"37.194.206.12",1,1,78,0
1709391602,"185.198.69.39",12,6,79,0
